tavg,tmin,tmax,prcp,pres,city,year,month,tavg_norm,tmin_norm,tmax_norm,prcp_norm,pres_norm,fuzzy_prcp_label
25.9,23.3,30.3,247.0,1011.5,0,2004,1,0.23684210526315747,0.34285714285714264,0.32258064516129037,0.1716460787130135,0.8113207547169795,High
26.5,23.3,31.5,421.0,1010.6,0,2004,1,0.3947368421052631,0.34285714285714264,0.5161290322580645,0.2966101694915254,0.6415094339622653,High
27.0,23.5,32.6,227.0,1010.4,0,2004,1,0.5263157894736841,0.3999999999999996,0.6935483870967744,0.15728239011778222,0.6037735849056527,Low
27.1,23.7,32.8,207.0,1010.0,0,2004,1,0.5526315789473687,0.4571428571428565,0.7258064516129027,0.14291870152255098,0.5283018867924488,Low
27.8,23.8,33.6,129.0,1010.7,0,2004,1,0.736842105263158,0.4857142857142855,0.8548387096774196,0.08690031600114909,0.6603773584905717,Low
25.9,23.0,31.5,376.0,1010.3,0,2004,1,0.23684210526315747,0.25714285714285673,0.5161290322580645,0.2642918701522551,0.5849056603773464,Medium
27.6,23.6,33.3,124.0,1010.3,0,2004,1,0.6842105263157897,0.42857142857142855,0.8064516129032253,0.08330939385234128,0.5849056603773464,Low
26.0,23.0,31.0,451.0,1011.1,0,2004,1,0.26315789473684204,0.25714285714285673,0.4354838709677419,0.3181557023843723,0.7358490566037756,High
26.1,23.1,31.5,295.0,1011.5,0,2004,1,0.28947368421052666,0.2857142857142857,0.5161290322580645,0.2061189313415685,0.8113207547169795,Medium
26.2,23.3,31.7,419.0,1010.7,0,2004,1,0.3157894736842103,0.34285714285714264,0.5483870967741934,0.29517380063200227,0.6603773584905717,High
25.6,23.3,30.2,703.0,1010.4,0,2004,1,0.15789473684210562,0.34285714285714264,0.3064516129032256,0.4991381786842861,0.6037735849056527,High
26.0,23.4,29.9,838.0,1011.4,0,2005,1,0.26315789473684204,0.3714285714285706,0.2580645161290319,0.5960930767020971,0.7924528301886732,High
26.5,23.6,30.6,419.0,1012.2,0,2005,1,0.3947368421052631,0.42857142857142855,0.37096774193548404,0.29517380063200227,0.9433962264151025,High
26.6,23.6,31.0,310.0,1011.8,0,2005,1,0.4210526315789477,0.42857142857142855,0.4354838709677419,0.21689169778799194,0.867924528301877,Low
26.6,23.2,32.4,203.0,1010.8,0,2005,1,0.4210526315789477,0.31428571428571367,0.6612903225806449,0.14004596380350473,0.6792452830188566,Low
26.7,23.7,31.6,302.0,1009.5,0,2005,1,0.4473684210526313,0.4571428571428565,0.5322580645161292,0.21114622234989944,0.4339622641509385,Medium
26.7,23.7,31.9,271.0,1009.1,0,2005,1,0.4473684210526313,0.4571428571428565,0.5806451612903223,0.188882505027291,0.35849056603773466,Medium
26.7,23.5,31.9,120.0,1010.0,0,2005,1,0.4473684210526313,0.3999999999999996,0.5806451612903223,0.08043665613329502,0.5283018867924488,Low
27.2,23.6,32.9,110.0,1009.8,0,2005,1,0.5789473684210523,0.42857142857142855,0.7419354838709675,0.0732548118356794,0.4905660377358361,Low
26.6,23.0,32.2,257.0,1010.1,0,2005,1,0.4210526315789477,0.25714285714285673,0.6290322580645166,0.1788279230106291,0.5471698113207552,Medium
26.2,23.3,31.8,340.0,1010.1,0,2005,1,0.3157894736842103,0.34285714285714264,0.5645161290322581,0.23843723068083883,0.5471698113207552,Medium
25.9,23.1,31.8,310.0,1010.0,0,2005,1,0.23684210526315747,0.2857142857142857,0.5645161290322581,0.21689169778799194,0.5283018867924488,Medium
25.6,22.9,30.7,342.0,1009.3,0,2005,1,0.15789473684210562,0.22857142857142776,0.3870967741935482,0.23987359954036194,0.3962264150943259,Medium
26.0,23.3,30.4,443.0,1009.9,0,2006,1,0.26315789473684204,0.34285714285714264,0.33870967741935454,0.3124102269462798,0.5094339622641424,High
26.1,23.5,30.1,723.0,1010.1,0,2006,1,0.28947368421052666,0.3999999999999996,0.2903225806451614,0.5135018672795173,0.5471698113207552,High
26.8,23.6,31.7,275.0,1009.6,0,2006,1,0.4736842105263159,0.42857142857142855,0.5483870967741934,0.19175524274633723,0.4528301886792449,Medium
26.5,23.6,32.2,240.0,1009.3,0,2006,1,0.3947368421052631,0.42857142857142855,0.6290322580645166,0.16661878770468255,0.3962264150943259,Low
26.5,23.6,32.1,230.0,1010.1,0,2006,1,0.3947368421052631,0.42857142857142855,0.6129032258064518,0.15943694340706693,0.5471698113207552,Low
26.5,23.1,31.9,331.0,1009.8,0,2006,1,0.3947368421052631,0.2857142857142857,0.5806451612903223,0.23197357081298475,0.4905660377358361,Medium
27.5,23.6,33.3,166.0,1009.9,0,2006,1,0.6578947368421051,0.42857142857142855,0.8064516129032253,0.11347313990232691,0.5094339622641424,Low
